tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0062336,movie,El tango del viudo y su espejo deformante,El tango del viudo y su espejo deformante,0,2020,\N,70,Drama,5.7,15
tt0116991,movie,Mariette in Ecstasy,Mariette in Ecstasy,0,2019,\N,\N,Drama,7.5,38
tt0305295,movie,Bich bozhiy,Bich bozhiy,0,2019,\N,88,Drama,6.1,16
tt0348699,movie,Paani,Paani,0,2020,\N,\N,"Drama,Romance,Sci-Fi",7.1,7
tt0374682,movie,"Gombrowicz, l'Argentine et moi","Gombrowicz, l'Argentine et moi",0,2019,\N,84,Documentary,7.0,5
tt0385887,movie,Motherless Brooklyn,Motherless Brooklyn,0,2019,\N,144,"Crime,Drama,Mystery",6.8,22285
tt0437086,movie,Alita: Battle Angel,Alita: Battle Angel,0,2019,\N,122,"Action,Adventure,Sci-Fi",7.3,193030
tt0441881,movie,Danger Close,Danger Close: The Battle of Long Tan,0,2019,\N,118,"Action,Drama,War",6.9,4990
tt0448115,movie,Shazam!,Shazam!,0,2019,\N,132,"Action,Adventure,Comedy",7.1,218773
tt0783640,movie,The Last Full Measure,The Last Full Measure,0,2019,\N,116,"Drama,War",6.5,2282
tt0800325,movie,The Dirt,The Dirt,0,2019,\N,107,"Biography,Comedy,Drama",7.0,33768
tt0810836,movie,Dirt Music,Dirt Music,0,2019,\N,105,"Crime,Drama,Romance",7.1,35
tt0837563,movie,Pet Sematary,Pet Sematary,0,2019,\N,101,"Horror,Mystery,Thriller",5.7,68262
tt0846775,movie,Cine Manifest,Cine Manifest,0,2019,\N,75,Documentary,7.2,12
tt0858419,movie,Bolden,Bolden,0,2019,\N,108,Drama,5.6,342
tt0983946,movie,Fantasy Island,Fantasy Island,0,2020,\N,110,"Adventure,Comedy,Horror",4.6,4965
tt10002654,movie,Pattabhiraman,Pattabhiraman,0,2019,\N,139,Drama,7.1,707
tt10003978,movie,Fiddler: A Miracle of Miracles,Fiddler: A Miracle of Miracles,0,2019,\N,97,Documentary,7.0,206
tt10004396,movie,When I Became a Butterfly,When I Became a Butterfly,0,2019,\N,102,Thriller,6.4,9
tt10004944,movie,Aporia,Aporia,0,2019,\N,85,"Action,Adventure,Horror",7.8,47
tt10006006,movie,A Christmas Prince: The Royal Baby,A Christmas Prince: The Royal Baby,0,2019,\N,84,"Family,Romance",5.3,3417
tt10006122,movie,Debout,Debout,0,2019,\N,85,Documentary,6.4,14
tt10006160,movie,Kala azar,Kala azar,0,2020,\N,90,Drama,7.0,10
tt10006270,movie,Hunting Season,Jagtsæson,0,2019,\N,92,Comedy,5.3,210
tt10007820,movie,On the Trail of Bigfoot,On the Trail of Bigfoot,0,2019,\N,\N,Documentary,6.3,63
tt10007978,movie,Terror in the Skies,Terror in the Skies,0,2019,\N,67,Documentary,5.7,59
tt10008784,movie,Bull,Bull,0,2019,\N,105,Drama,8.7,1273
tt10009030,movie,Snatchers,Snatchers,0,2019,\N,96,"Comedy,Horror,Sci-Fi",5.4,1215
tt10009098,movie,Willie,Willie,0,2019,\N,89,"Documentary,Sport",7.0,9
tt10009434,movie,Family Obligations,Family Obligations,0,2019,\N,81,"Comedy,Drama",4.7,227
tt10009978,movie,Bigger Like Me (Extended Director's Cut),Bigger Like Me (Extended Director's Cut),0,2019,\N,100,Documentary,6.8,6
tt10010368,movie,The Australian Dream,The Australian Dream,0,2019,\N,105,"Documentary,Drama,Sport",7.2,462
tt10011102,movie,The Sholay Girl,The Sholay Girl,0,2019,\N,106,"Action,Biography,Drama",7.7,75
tt10011226,movie,17 Blocks,17 Blocks,0,2019,\N,96,Documentary,8.1,31
tt10011232,movie,Leftover Women,Leftover Women,0,2019,\N,85,"Documentary,Drama,Romance",7.3,136
tt10011252,movie,Watson,Watson,0,2019,\N,99,Documentary,7.9,56
tt10011264,movie,A Woman's Work: The NFL's Cheerleader Problem,A Woman's Work: The NFL's Cheerleader Problem,0,2019,\N,80,"Documentary,Music,Sport",6.7,6
tt10011270,movie,The Dominican Dream,The Dominican Dream,0,2019,\N,100,"Biography,Documentary,Sport",7.9,35
tt10011284,movie,Lil' Buck: Real Swan,Lil' Buck: Real Swan,0,2019,\N,85,Documentary,7.4,7
tt10011296,movie,Nomad: In the Footsteps of Bruce Chatwin,Nomad: In the Footsteps of Bruce Chatwin,0,2019,\N,85,"Biography,Comedy,Documentary",7.0,154
tt10011312,movie,All I Can Say,All I Can Say,0,2019,\N,102,"Documentary,Music",8.4,8
tt10011320,movie,Changing the Game,Changing the Game,0,2019,\N,88,"Documentary,Drama,Sport",7.7,38
tt10011336,movie,Lucky Grandma,Lucky Grandma,0,2019,\N,100,"Comedy,Drama",7.4,95
tt10011342,movie,The Rest,The Rest,0,2019,\N,78,Documentary,7.2,38
tt10011362,movie,"Red, White & Wasted","Red, White & Wasted",0,2019,\N,89,Documentary,8.5,8
tt10011402,movie,Martha: A Picture Story,Martha: A Picture Story,0,2019,\N,82,"Biography,Documentary",8.4,42
tt10011412,movie,You Don't Nomi,You Don't Nomi,0,2019,\N,92,Documentary,7.0,57
tt10011448,movie,Linda Ronstadt: The Sound of My Voice,Linda Ronstadt: The Sound of My Voice,0,2019,\N,95,"Biography,Documentary,Music",8.0,1130
tt10011500,movie,Slay the Dragon,Slay the Dragon,0,2019,\N,101,Documentary,7.1,14
